,Data,Qt_almoco,Qt_jantar
530,2020-01-20,115,0
531,2020-01-21,171,0
532,2020-01-22,160,0
533,2020-01-23,147,0
534,2020-01-24,153,0
535,2020-01-27,102,0
536,2020-01-28,138,0
537,2020-01-29,155,0
538,2020-01-30,142,0
539,2020-01-31,131,0
540,2020-02-03,219,45
541,2020-02-04,261,55
542,2020-02-05,223,35
543,2020-02-06,210,38
544,2020-02-07,136,0
545,2020-02-10,129,0
546,2020-02-11,143,0
547,2020-02-12,173,0
548,2020-02-13,149,0
549,2020-02-14,184,0
550,2020-02-17,723,503
551,2020-02-18,961,577
552,2020-02-19,912,413
553,2020-02-20,779,379
554,2020-02-21,487,132
555,2020-02-24,0,0
556,2020-02-25,0,0
557,2020-02-26,0,0
558,2020-02-27,689,501
559,2020-02-28,657,289
560,2020-03-02,847,614
561,2020-03-03,1033,687
562,2020-03-04,830,608
563,2020-03-05,944,691
564,2020-03-06,823,353
565,2020-03-09,843,639
566,2020-03-10,1001,626
567,2020-03-11,1002,611
568,2020-03-12,953,549
569,2020-03-13,795,410
570,2020-03-16,646,328
571,2020-03-17,104,31
572,2020-03-18,31,12
573,2020-03-19,0,0
574,2020-03-20,12,9
575,2020-03-23,9,6
576,2020-03-24,10,9
577,2020-03-25,0,0
578,2020-03-26,11,13
579,2020-03-27,15,14
580,2020-03-30,13,12
581,2020-03-31,14,9
